NURA_ID,Canonical SMILES,AGO_PR,ANT_PR,BIN_PR,AGO_PXR,ANT_PXR,BIN_PXR,AGO_RXR,ANT_RXR,BIN_RXR,AGO_GR,ANT_GR,BIN_GR,AGO_AR,ANT_AR,BIN_AR,AGO_ERA,ANT_ERA,BIN_ERA,AGO_ERB,ANT_ERB,BIN_ERB,AGO_FXR,ANT_FXR,BIN_FXR,AGO_PPARD,ANT_PPARD,BIN_PPARD,AGO_PPARG,ANT_PPARG,BIN_PPARG,AGO_PPARA,ANT_PPARA,BIN_PPARA,SOURCES
NURA_00023,BrCC(=O)c1ccc(cc1)O,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00024,BrCC(=O)c1ccccc1,inact.,inact.,inact.,n.a.,n.a.,n.a.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,w.act.,inact.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00025,BrCC(Br)(Br)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,w.act.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00026,BrCC(C(=O)Nc1ccc(c(c1)C(F)(F)F)N)(O)C,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00027,BrCC(C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])(O)C,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00028,BrCC(C(C(C(CBr)O)O)O)O,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,w.act.,inact.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00029,BrCC(C)C,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00030,BrCC(C1CCC(C(C1)Br)Br)Br,inact.,act.,inc.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,inact.,inact.,inact.,act.,inact.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00031,BrCC(COP(=O)(OCC(CBr)Br)OCC(CBr)Br)Br,inact.,act.,inc.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,inact.,w.act.,inc.,inact.,w.act.,inc.,inact.,w.act.,inc.,inact.,w.act.,inc.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,inc.,inc.,n.a.,n.a.,n.a.,Tox21
NURA_00032,BrCC(COc1c(Br)cc(cc1Br)C(c1cc(Br)c(c(c1)Br)OCC(CBr)Br)(C)C)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00033,BrCC(c1ccccc1)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00034,BrCC1CC2(C(C1(Cl)C(=C2Cl)Cl)(Cl)Cl)Cl,inact.,inact.,inact.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00035,BrCC1CO1,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00036,BrCC=C,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00037,BrCC=CCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00038,BrCCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00039,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00040,BrCCCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00041,BrCCCCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00042,BrCCCCCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00043,BrCCCCCCBr,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00044,BrCCCCCCCCCCCC(=O)O,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00045,BrCCCCCCCCCOc1ccc(cc1)C1CC2(C)C(C3C1=C1CCC(=O)C=C1CC3)CCC2(O)C#CC,n.a.,act.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,ChEMBL
NURA_00046,BrCCOc1ccccc1,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00047,BrCCc1ccccc1,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00048,BrCc1cc(O)cc2c1oc(n2)c1ccc(cc1)O,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00049,BrCc1ccc(cc1)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00050,BrCc1ccc(cc1)C(=O)OC,inact.,inact.,inact.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,act.,inact.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00051,BrCc1ccc(cc1)[N+](=O)[O-],inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00052,BrCc1ccc(cc1F)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,inact.,inact.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00053,BrCc1cccc(c1)Oc1ccccc1,inact.,w.act.,inc.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,w.act.,inact.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00054,BrCc1ccccc1,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00055,BrN1C(=O)N(C(C1=O)(C)C)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00056,BrN1C(=O)N(C(C1=O)(C)C)Cl,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00057,Brc1c(Br)c(Br)c(c(c1Br)Br)Br,act.,inact.,inc.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,act.,inact.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00058,Brc1c(Br)ccc(c1Br)c1cc(Br)c(c(c1)Br)Br,inact.,n.a.,inact.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00059,Brc1c(O)c(Br)c(c(c1Br)Br)Br,inact.,n.a.,inact.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,act.,inc.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,act.,act.,n.a.,n.a.,n.a.,Tox21
NURA_00060,Brc1c(Oc2c(Br)c(Br)c(c(c2Br)Br)Br)c(Br)c(c(c1Br)Br)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00061,Brc1c(ccc2c1nccn2)NC1=NCCN1,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00062,Brc1c2ccccc2c(c2c1cccc2)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,act.,n.a.,act.,inact.,inact.,inact.,act.,inact.,inc.,n.a.,inact.,inact.,act.,inact.,inc.,act.,inact.,inc.,act.,n.a.,act.,n.a.,n.a.,n.a.,Tox21
NURA_00063,Brc1c2ccccc2cc2c1cccc2,inact.,w.act.,inc.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,w.act.,inact.,inc.,inact.,inact.,inact.,w.act.,n.a.,w.act.,inact.,inact.,inact.,n.a.,inact.,inact.,w.act.,inact.,inc.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,Tox21
NURA_00064,Brc1cc(Br)c(c(c1)Br)O,inact.,w.act.,inc.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,w.act.,inc.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,w.act.,inc.,n.a.,n.a.,n.a.,Tox21
NURA_00065,Brc1cc(Br)c(c(c1)C(=O)Nc1cccc(c1)C(F)(F)F)O,inact.,n.a.,inact.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,act.,n.a.,act.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,act.,inc.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00066,Brc1cc(Br)c(c2c1C(=O)c1ccccc1C2=O)N,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00067,Brc1cc(Br)c(cc1Oc1cc(Br)c(cc1Br)Br)Br,inact.,n.a.,inact.,n.a.,n.a.,n.a.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00068,Brc1cc(Br)c2c(c1)c1ccc(c(c1oc2=O)C)O,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00069,Brc1cc(Br)c2c(c1)c1ccc3c(c1CO2)C(=CC(N3)(C)C)C,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00070,Brc1cc(Br)c2c(c1O)nccc2,inact.,n.a.,inact.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,n.a.,w.act.,w.act.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00071,Brc1cc(Br)cc(c1)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00072,Brc1cc(C=NOc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])cc(c1O)Br,inact.,inact.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,inact.,inact.,inact.,n.a.,n.a.,n.a.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00073,Brc1cc(F)c2c(c1)c1ccc3c(c1CO2)C(=CC(N3)(C)C)C,n.a.,act.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
